164,Maryland-Eastern Shore Hawks,Princess Anne,Maryland,1974
165,Massachusetts Minutemen,Amherst,Massachusetts,1926
166,Massachusetts-Lowell River Hawks,Lowell,Massachusetts,1906
167,McNeese State Cowboys,Lake Charles,Louisiana,1974
168,Memphis Tigers,Memphis,Tennessee,1956
169,Mercer Bears,Macon,Georgia,1974
170,Miami (FL) Hurricanes,Coral Gables,Florida,1949
171,Miami (OH) RedHawks,Oxford,Ohio,1906
172,Michigan State Spartans,East Lansing,Michigan,1899
173,Michigan Wolverines,Ann Arbor,Michigan,1918
174,Middle Tennessee Blue Raiders,Murfreesboro,Tennessee,1959
175,Milwaukee Panthers,Milwaukee,Wisconsin,1974
176,Minnesota Golden Gophers,Minneapolis,Minnesota,1896
177,Mississippi Rebels,University,Mississippi,1909
178,Mississippi State Bulldogs,Mississippi State,Mississippi,1909
179,Mississippi Valley State Delta Devils,Itta Bena,Mississippi,1980
180,Missouri State Bears,Springfield,Missouri,1983
181,Missouri Tigers,Columbia,Missouri,1907
182,Missouri-Kansas City Kangaroos,Kansas City,Missouri,1990
183,Montana Grizzlies,Missoula,Montana,1912
184,Montana State Bobcats,Bozeman,Montana,1902
185,Morehead State Eagles,Morehead,Kentucky,1956
186,Morgan State Bears,Baltimore,Maryland,1985
187,Mount St. Mary's Mountaineers,Emmitsburg,Maryland,1989
188,Murray State Racers,Murray,Kentucky,1954
189,Navy Midshipmen,Annapolis,Maryland,1908
190,Nebraska Cornhuskers,Lincoln,Nebraska,1897
191,Nevada Wolf Pack,Reno,Nevada,1913
192,Nevada-Las Vegas Rebels,Las Vega,Nevada,1970
193,New Hampshire Wildcats,Durham,New Hampshire,1927
194,New Mexico Lobos,Albuquerque,New Mexico,1900
195,New Mexico State Aggies,Las Cruces,New Mexico,1905
196,New Orleans Privateers,New Orleans,Louisiana,1976
197,Niagara Purple Eagles,Niagara University,New York,1906
198,Nicholls State Colonels,Thibodaux,Louisiana,1981
199,NJIT Highlanders,Newark,New Jersey,2010
200,Norfolk State Spartans,Norfolk,Virginia,1998
201,North Carolina A&T Aggies,Greensboro,North Carolina,1974
202,North Carolina Central Eagles,Durham,North Carolina,2011
203,North Carolina State Wolfpack,Raleigh,North Carolina,1913
204,North Carolina Tar Heels,Chapel Hill,North Carolina,1911
205,North Carolina-Asheville Bulldogs,Asheville,North Carolina,1987
206,North Carolina-Greensboro Spartans,Greensboro,North Carolina,1992
207,North Carolina-Wilmington Seahawks,Wilmington,North Carolina,1977
208,North Dakota Fighting Hawks,Grand Forks,North Dakota,1905
209,North Dakota State Bison,Fargo,North Dakota,1898
210,North Florida Ospreys,Jacksonville,Florida,2010
211,North Texas Mean Green,Denton,Texas,1922
212,Northeastern Huskies,Boston,Massachusetts,1938
213,Northern Arizona Lumberjacks,Flagstaff,Arizona,1919
214,Northern Colorado Bears,Greeley,Colorado,1911
215,Northern Illinois Huskies,De Kalb,Illinois,1927
216,Northern Iowa Panthers,Cedar Falls,Iowa,1981
217,Northern Kentucky Norse,Highland Heights,Kentucky,2013
218,Northwestern State Demons,Natchitoches,Louisiana,1977
219,Northwestern Wildcats,Evanston,Illinois,1905
220,Notre Dame Fighting Irish,Notre Dame,Indiana,1897
221,Oakland Golden Grizzlies,Rochester,Michigan,2000
222,Ohio Bobcats,Athens,Ohio,1908
223,Ohio State Buckeyes,Columbus,Ohio,1899
224,Oklahoma Sooners,Norman,Oklahoma,1908
225,Oklahoma State Cowboys,Stillwater,Oklahoma,1908
226,Old Dominion Monarchs,Norfolk,Virginia,1977
227,Omaha Mavericks,Omaha,Nebraska,2013
228,Oral Roberts Golden Eagles,Tulsa,Oklahoma,1972
229,Oregon Ducks,Eugene,Oregon,1903
230,Oregon State Beavers,Corvallis,Oregon,1902
231,Pacific Tigers,Stockton,California,1938
232,Penn State Nittany Lions,University Park,Pennsylvania,1897
233,Pennsylvania Quakers,Philadelphia,Pennsylvania,1897
234,Pepperdine Waves,Malibu,California,1944
235,Pittsburgh Panthers,Pittsburgh,Pennsylvania,1906
236,Portland Pilots,Portland,Oregon,1954
237,Portland State Vikings,Portland,Oregon,1973
238,Prairie View Panthers,Prairie View,Texas,1981
239,Presbyterian Blue Hose,Clinton,South Carolina,2011
240,Princeton Tigers,Princeton,New Jersey,1901
241,Providence Friars,Providence,Rhode Island,1929
242,Purdue Boilermakers,West Lafayette,Indiana,1897
243,Quinnipiac Bobcats,Hamden,Connecticut,1999
244,Radford Highlanders,Radford,Virginia,1985
245,Rhode Island Rams,Kingston,Rhode Island,1904
