Florida Gators,88,Davion Mitchell\davion-mitchell-1,,FR,G,6-1,200,Hinesville GA,Liberty County High School,3.7,1.1,1.9
Florida Gators,88,Cole Blackstock\cole-blackstock-1,41,JR,F,6-9,253,Killen AL,Brooks HS,0.3,0.3,0
Florida Gators,88,Patrick Keim\patrick-keim-1,21,SR,G,6-2,186,Birmingham AL,Mountain Brook HS,0.3,0.2,0
Florida Gators,88,Thomas Collier\thomas-collier-1,,SO,F,6-9,215,Birmingham AL,Briarwood Christian High School,0.4,0.4,0
Florida Gators,88,Brett Easterling\brett-easterling-1,,FR,G,6-1,165,Tallahassee FL,Lawton Chiles High School,0.3,0.1,0
Florida Gators,88,Will Macoy\will-macoy-1,22,SO,G,6-4,180,Birmingham AL,Mountain Brook High School,0.2,0.3,0
Florida Gators,88,Devontae Williams\devontae-williams-1,12,SO,G,6-4,215,Opp AL,Opp High School,0.1,0.1,0.1
Florida Gators,88,Samir Doughty\samir-doughty-1,20,,G,6-4,187,Philadelphia PA,Math Civics & Sciences HS,,,
Florida Gators,88,Danjel Purifoy\danjel-purifoy-1,3,,F,6-7,230,Centreville AL,Hargrave Military Academy,,,
Florida Gators,88,Austin Wiley\austin-wiley-1,50,,C,6-11,260,,Spain Pain High School,,,
Georgia Bulldogs,100,Yante Maten\yante-maten-1,1,SR,F,6-8,240,Pontiac MI,Bloomfield Hills HS,19.3,8.6,1.5
Georgia Bulldogs,100,William Jackson II\william-jacksonii-1,0,JR,G,6-2,185,Athens GA,Athens Christian,8.4,2.2,3.5
Georgia Bulldogs,100,Juwan Parker\juwan-parker-1,3,SR,G,6-4,200,Tulsa OK,Booker T. Washington HS,8.3,3.7,1.2
Georgia Bulldogs,100,Derek Ogbeide\derek-ogbeide-1,34,JR,F,6-8,240,Atlanta GA,Pebblebrook HS,6.9,6.2,0.7
Georgia Bulldogs,100,Rayshaun Hammonds\rayshaun-hammonds-1,20,FR,F,6-8,227,Norcross GA,Norcross High School,6.7,4.9,1.4
Georgia Bulldogs,100,Tyree Crump\tyree-crump-1,4,SO,G,6-1,180,Bainbridge GA,Bainbridge High School,6.5,1.2,1.3
Georgia Bulldogs,100,Nicolas Claxton\nicolas-claxton-1,33,FR,F,6-11,215,Greenville SC,Legacy Charter School,3.9,3.9,0.2
Georgia Bulldogs,100,TeShaun Hightower\teshaun-hightower-1,10,FR,G,6-4,180,Lithonia GA,Mt. Zion,3.6,1.4,1.3
